species,Code,Habit,Form,Habitat,Phnlgy,Path,STAT,Ref_Voucher
helianthus petiolaris,HEPE ,  A  , FORB , GI  ,        SU   ,.    , .   , CJ1652
heliotropium convolvulaceum,HECO ,  A  , FORB , GI  ,        SU   ,.    , NAT , CJ1290
heliotropium greggii,HEGR ,  P  , FORB , .   ,     SP-SU   ,.    , NAT , CJ1289
heterotheca fulcrata,HEFU ,  P  , FORB , MS  ,     SP-SU   ,C3   , NAT , CJ1568 S-1941
hilaria mutica,PLMU,,,,,,,
hoffmanseggia drepanocarpa,HODR ,  P  , FORB , GI  ,     SP-SU   ,C3   , NAT , CJ 798
hoffmanseggia glauca,HOGL ,  P  , FORB , PC  ,     SP-SU   ,C3   , NAT , CJ 797
hordeum murinum,HOMU ,  A  ,GRASS , CG  ,     WI-SP   ,C3   , INTR,  KA 124
hybanthus verticillatus,HYVE ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1078 S-2288
hymenopappus flavescens,HYFL ,  B  , FORB , GI  ,     SP-SU   ,.    , .   , CJ1703
hymenoxys odorata,HYOD ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1678 L-1224
ibervillea tenuisecta,IBTE ,  P  , VINE , BF  ,        SU   ,C3   , NAT , CJ1511 S-2387
ipomoea costellata,IPCO ,  A  , VINE , GB  ,        SU   ,C3   , NAT , CJ1252
ipomoea cristulata,IPCR ,  P  , VINE , MS  ,        SU   ,C3   , NAT , CJ1250 S-1952
ipomopsis longiflora,IPLO ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1264
ipomopsis pumila,IPPU ,  A  , FORB , MW  ,        SP   ,.    , NAT , CJ1264
iva ambrosiaefolia,IVAM ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1629 S-2910
iva dealbata,IVDE ,  P  , FORB , .   ,        SU   ,.    , NAT ,   CJ1629
janusia gracilis,JAGR ,  P  , FORB , MS  ,        SU   ,C4   , NAT , CJ 913 S-1953
juniperus monosperma,JUMO ,  P  , TREE , MS  ,        .    ,C3   , NAT , CJ  78
kallstroemia hirsutissima,KAHI ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 905
kallstroemia parviflora,KAPA ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 904 S-2348
koeberlinia spinosa,KOSP ,  P  ,SHRUB , TWTE,      SP-SU  ,.    , NAT , CJ1074
krameria glandulosa,KRPA ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ 890
krameria lanceolata,KRLA ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ 889 S-2347
kuhnia chlorolepis,KUCH ,  P  , FORB , RS  ,        SU   ,.    , NAT , CJ1548
lappula redowskii,LARE ,  A  , FORB , BS  ,        SU   ,C3   , NAT , CJ1293 S-2221
larrea tridentata,LATR ,  P  ,SHRUB , BF  ,     SP-SU   ,C3   , NAT , CJ 901
lepidium lasiocarpum,LELA ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 696 S-2208
lepidium montanum,LEMO ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ 695 P-6
lepidium virginicum,LEVI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 697 S-2217
leptochloa dubia,LEDU ,  P  ,GRASS , MS  ,        SU   ,C4   , NAT , KA 126
leptochloa viscida,LEVS ,  A  ,GRASS , PC  ,        SU   ,C4   , NAT , KP 123
lesquerella fendleri,LEFE ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ 704 S-2222
lesquerella gordonii,LEGO ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 702 S-2230
leucelene ericoides,LEER ,  P  , FORB , BF  ,        SP   ,C3   , NAT , CJ1600 S-2257
linanthus bigelovii,LIBI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1267
linaria texana,LITE ,  A  , FORB , GS  ,        SP   ,.    , NAT , CJ1426
linum aristatum,LIAU ,  A  , FORM ," MW,E",N3   SP-SU   ,.    , .   , KP 489
linum vernale,LIVE ,  A  , FORB ," GI,M",W    SP-SU   ,.    , .   , CJ 900
lotus neomexicanus,LONE ,  P  , FORB , BF  ,        SP   ,C3   , NAT , KP 428 S-2211
lupinus concinnus,LUCO ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ 803 S-2206
lycium berlandieri,LYBE ,  P  ,SHRUB , TA  ,        SP   ,.    , NAT , CJ1402
lycium pallidum,LYPA ,  P  ,SHRUB , TA  ,        SP   ,.    , NAT , CJ1401
machaeranthera gracilis,HAGR ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1583 S-2388
machaeranthera linearis,MALI ,  A  , FORB , MW  ,        SU   ,.    , NAT , CJ1584
machaeranthera pinnatifida,MAPI ,  P  , FORB , BS  ,     SP-SU   ,.    , .   , CJ1582
machaeranthera tanacetifolia,MATA ,  A  , FORB , BS  ,        SU   ,C3   , NAT , CJ1585 S-2903
malacothrix fendleri,MAFE ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1728 S-2214
mammillaria grahamii,MAGR ,  P  ,ST-SU , GS  ,         .  C,AM   , NAT , CJ1102
mammillaria gummifera,MAGU ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1101
mammillaria wrightii,MAWR ,  P  ,ST-SU , MS  ,        SP  C,AM   , NAT , CJ1102
melampodium leucanthum,MELE ,  P  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ1621
menodora scabra,MESC ,  P  ,S-SHR , BF  ,        SU   ,C3   , NAT , CJ1196 S-1948
mentzelia albicaulis,MEAL ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1084 S-2234
mentzelia pumila,MEPU ,  A  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ1083 S-2254
microseris linearifolia,MILI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1725
mirabilis linearis,MILN ,  P  , FORB , PC  ,        SU   , .   , NAT , CJ 583
mollugo cerviana,MOCE ,  A  , FORB , BF  ,        SU   ,C4   , NAT , CJ 602 S-2650
mollugo verticillata,MOVE ,  A  , FORB , GS  ,     SP-SU   ,C4   , NAT , CJ 602
morus microphylla,MOMI ,  P  ,SHRUB , MS  ,        SP   ,.    , NAT , CJ 497
muhlenbergia arenacea,MUAR ,  P  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 138 W-s.n.
muhlenbergia arenicola,MUAN ,  P  ,GRASS , .   ,        SU   ,C4   , NAT , KA 145
muhlenbergia porteri,MUPO ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA 136 S-2361
munroa squarrosa,MUSQ ,  A  ,GRASS , MW  ,        SU   ,C4   , NAT , KA 150
(poac.) false,     ,     ,      , MR,,,,
nama hispidum,NAHI ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1279 S-2215
neolloydia intertexta,NEIN ,  P  ,ST-SU , BF  ,        SP  C,AM   , NAT , CJ1107
var. dasyacantha,.,,,,,,,
nicotiana trigonophylla,NITR ,  B  , FORB , BF  ,        SP   ,C3   , NAT , CJ1407
none -,NONE,,,,,,,
notholaena sinuata,NOSI ,  P  , FERN , MS  ,        .    ,C3   , NAT , CJ  59
notholaena standleyi,NOST ,  P  , FERN , MS  ,        .    ,C3   , NAT , CJ  60
oenothera albicaulis,OEAL ,  A  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1131
oenothera caespitosa,OECA ,  P  , FORB , BS  ,        SP   ,C3   , NAT , CJ1130
oenothera primiveris,OEPR ,  A  , FORB , BS  ,        SP   ,C3   , NAT , CJ1130 S&W-2805
opuntia imbricata,OPIM ,  P  ,ST-SU , BF  ,     SP-SU  C,AM   , NAT , CJ1091
opuntia leptocaulis,OPLE ,  P  ,ST-SU , BF  ,     SP-SU  C,AM   , NAT , CJ1091
opuntia phaeacantha,OPPH ,  P  ,ST-SU , BF  ,     SP-SU  C,AM   , NAT , CJ1093 S&M-2530
opuntia violacea,OPVI ,  P  ,ST-SU , BF  ,     SP-SU  C,AM   , NAT , CJ1093 S&M-2531
palafoxia sphacelata,PASP ,  A  ,FORB  , GI  ,     SP-SU   , .   , NAT , CJ1697 P-310
panicum fasciculatum,BRFA,,,,,,,
panicum hallii,PAHA ,  P  ,GRASS , MS  ,        SP   ,C4   , NAT , KA 156
panicum hirticaule,PAHI ,  A  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 153 S-2383
panicum obtusum,PAOB ,  P  ,GRASS , PC  ,        SU   ,C4   , NAT , KA 153
parthenium incanum,PAIN ,  P  ,SHRUB , BF  ,        SU   ,C3   , NAT , CJ1626 S-2910
pectis angustifolia,PEAN ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ1685 S-2380
pectis papposa,PEPA ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ1685 S-2149
pectis prostrata,PEPR ,  A  , FORB , PS  ,        SU   , .   , NAT , CJ1684
pellaea longimucronata,PELO ,  P  , FERN , MS  ,        .    ,C3   , NAT , CJ  54
penstemon ambiguus,PEAM ,  P  ,SHRUB , .   ,        SU   ,.    , NAT , CJ1422
perezia nana,PENA ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1721 S-2285
perezia wrightii,PEWR ,  P  , FORB , MS  ,        SU   ,C3   , NAT , CJ1721
petalostemum compactum,PECO ,  P  , FORB , GI  ,        SU   ,.    , NAT , CJ 830
phacelia coerulea,PHCO ,  A  , FORB , BS  ,        SP   ,C3   , NAT , CJ1276 S-2259
phacelia integrifolia,PHIT ,  A  , FORB , BD  ,        SP   ,.    , NAT , CJ1276
phacelia intermedia,PHIN ,  A  , FORB , BS  ,        SP   ,C3   , NAT , CJ1276
phacelia popei,PHPO ,  A  , FORB , TW  ,        SP   ,.    , NAT , CJ1276
phaseolus acutifolius,PHAC ,  P  , FORB , GS  ,        SU   ,.    , NAT , CJ 888 P-378
phaseolus wrightii,PHWR ,  P  , FORB , .   ,        SU   ,.    , NAT , CJ 887
phyla incisa,PHIC ,  P  , FORB , .   ,     SP-SU   ,.    , NAT , CJ1332
physalis hederaefolia,PHHE ,  P  , FORB , MS  ,        SU   ,C3   , NAT , CJ1390
plantago patagonica,PLPA ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1478
pleuraphis mutica,PLMU ,  P  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 165
poa fendleriana,POFE ,  P  ,GRASS , BF  ,     SP-SU   ,C3   , NAT , KA 172
polanisia uniglandulosa,POUN ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ 707
porophyllum scoparium,POSC ,  P  ,SHRUB , MS  ,     SP-SU   ,C3   , NAT , CJ1686 S-2292
portulaca mundula,POMU ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 607 S-2906
portulaca parvula,POPA ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 607
portulaca oleracea,POOL ,  A  , FORB , PC  ,        SU   ,C4   , NAT , CJ 607 S-2386A
portulaca retusa,PORE ,  A  , FORB , PS  ,        SU   ,C4   , NAT , CJ 607
portulaca suffrutescens,POSU ,  P  , FORB , BS  ,     SP-SU   , .   , NAT , CJ 607
proboscidea parviflora,PRPA ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1447
prosopis glandulosa,PRGL ,  P  ,SHRUB , BF  ,     SP-SU   ,C3   , NAT , CJ 783
torreyana (l.,n,,,,,,,
psilostrophe tagetina,PSTA ,  P  , FORB , GI  ,     SP-SU   ,.    , NAT , CJ1701
rafinesquia neomexicana,RANE ,  A  , FORB , BF  ,        SP   ,C3   , NAT , CJ1728
ratibida columnaris,RACO ,  P  , FORB , PC  ,     SP-SU   ,.    , NAT , CJ1644
ratibida tagetes,RATA ,  P  , FORB , PC  ,        SU   ,.    , NAT , CJ1644
rhamnus betulaefolia,RHBE ,  P  ,SHRUB , MS  ,             ,C3   , NAT , CJ1012
rumex hymenosepalus,RUHY ,  P  , FORB , BD  ,        SP   ,.    , NAT , CJ 518
rhus microphylla,RHMI ,  P  ,SHRUB , BF  ,        SP   ,C3   , NAT , CJ 991
road ,ROAD,,,,,,,
salsola kali,SAKA ,  A  , FORB , BF  ,     SP-SU   ,C4  I,NTRO , CJ 551
sanvitalia abertii,SAAB ,  A  , FORB , BF  ,        SU   ,.    , NAT , CJ1635
sarcostemma cynanchoides,SACY ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1237
sarcostemma cynanchoides,SAHA ,  P  , FORB , GS  ,     SP-SU   ,C3   , NAT , CJ1237
schismus arabicus,SCAR ,  A  ,GRASS , .   ,        SP   ,.   I,NTRO , KA 179
scleropogon brevifolius,SCBR ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA 182
selenia dissecta,SEDS ,  A  , FORB , .   ,     SP-SU   ,.    , NAT , CJ 692
selinocarpus diffusus,SEDI ,  P  ,SHRUB , .   ,     SP-SU   ,.    , NAT , CJ 589
senecio longilobus,SELO ,  P  , FORB , BF  ,        SU   ,C3   , NAT , CJ1712
senecio spartioides,SEFR ,  P  , FORB , BF  ,        SU   ,.    , NAT , CJ1711
setaria leucopila,SELE ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA 187 S-2381
sida filicaulis,SIFI ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1052 S-1939
sida leprosa,SILE ,  P  , FORB , PC  ,        SU   ,C3   , NAT , CJ1051 S-2376
sida physocalyx,SIPH ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1052 S-2367
sisymbrium irio,SIIR ,  A  , FORB , BF  ,        SP   ,C3  I,NTRO , CJ 681
soil pit,SOIL,,,,,,,
also listed,SOPI,,,,,,,
solanum elaeagnifolium,SOEL ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1396
sonchus oleraceus,SOOL ,  A  , FORB , PS  ,     SP-SU   ,.   I,NTRO , CJ1731
sophora nuttalliana,SONU ,  P  , FORB ," PC,P",S       SP   ,C3   , NAT , CJ 798
sphaeralcea angustifolia,SPAN ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1046
sphaeralcea coccinea,SPCC ,  P  , FORB , GI  ,     SP-SU   ,C3   , NAT , CJ1044
sphaeralcea incana,SPIN ,  P  , FORB , MS  ,     SP-SU   ,C3   , NAT , CJ1047
sphaeralcea subhastata,SPSU ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1045 S-2294
sphaerophysa salsula,SPSA ,  P  , FORB , PC  ,     SP-SU   ,C3  I,NTRO , CJ 837
sporobolus airoides,SPAI ,  P  ,GRASS , PTTE,     SP-SU   ,C4   , NAT , KA 194
sporobolus contractus,SPCO ,  P  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 192
sporobolus cryptandrus,SPCR ,  P  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 193 S-2382
sporobolus flexuosus,SPFL ,  P  ,GRASS , BF  ,        SU   ,C4   , NAT , KA 193
sporobolus giganteus,SPGI ,  P  ,GRASS ,     ,        SU   , .   , NAT , KA 195
sporobolus pulvinatus,SPPU ,  A  ,GRASS , PT  ,        SU   , .   , NAT , KA 190
stephanomeria exigua,STEX ,  A  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1744
stephanomeria pauciflora,STPA ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1744 L-1234
streptanthus arizonicus,STAR ,  A  , FORB , BF  ,        SP   ,C3   , NAT , KP 331 S-2229
talinum angustissimum,TAAN ,  P  , FORB , BA  ,     SP-SU   ,C3   , NAT , CJ 609 L-1231
talinum aurantiacum,TAAU ,  P  , FORB , GI  ,     SP-SU   ,C3   , NAT , CJ 609
tecoma stans,TEST ,  P  ,SHRUB , MS  ,        SU   ,C3   , NAT , CJ1444
tetraclea coulteri,TECO ,  P  , FORB , BS  ,        SU   ,C3   , NAT , CJ1342
thelesperma megapotamicum,THME ,  P  , FORB , .   ,        SU   ,.    , NAT , CJ1667
tidestromia lanuginosa,TILA ,  A  , FORB , BS  ,        SU   ,C4   , NAT , CJ 571 S-2353
townsendia annua,TOAN ,  A  , FORB , CSx ,        SP   , .   , NAT , CJ1610
tragia ramosa,TRRA ,  P  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ 950 S-2287
tragopogon dubius,TRDU ,  B  , FORB , PC  ,        SU   , .  I,NTRO , CJ1729 P-582
tragus berteronianus,TRBE ,  A  ,GRASS , BS  ,        SU   ,C4   , NAT , KA 202 S-2368
tribulus terrestris,TRTE ,  A  , FORB , BS  ,        SU   ,C4  I,NTRO , CJ 905
tridens muticus,TRMU ,  P  ,GRASS , BD  ,        SU   ,C4   , NAT , KA 203
trixis californica,TRCL ,  P  ,SHRUB , MS  ,     SP-SU   ,C3   , NAT , CJ1721 S-2293
ungnadia speciosa,UGSP ,  P  ,SHRUB , MS  ,        SP   ,C3   , NAT , CJ1006
verbena ambrosifolia,VEAM ,  P  , FORB , BF  ,     SP-SU   ,C3   , NAT , CJ1324
verbena bracteata,VEBR ,  .  , FORB , .   ,     SP-SU   ,.   I,NTRO , CJ1322
verbena wrightii,VEWR ,  P  , FORB , BS  ,     SP-SU   ,C3   , NAT , CJ1325 S-2250
verbesina encelioides,VEEN ,  A  , FORB , BF  ,        SU   ,C3   , NAT , CJ1657 S-2150
vicia ludoviciana,VILU ,  A  , FORB , BD  ,        SP   ,.    , NAT , CJ874
viguiera annua,VIAN ,  A  , FORB , RS  ,        SU   ,.    , NAT , CJ1646
viguiera dentata,VIDE ,  P  , FORB , .   ,        SU   ,.    , NAT , CJ1645
vulpia octoflora,VUOC ,  A  ,GRASS , BF  ,        SP   ,C3   , NAT , KA 208
xanthium strumarium,XAST ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1634
xanthocephalum microcephalum,XAMI ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1574 S-2904
xanthocephalum sarothrae,XASA ,  P  ,S-SHR , BF  ,        SU   ,C3   , NAT , CJ1574 S-2148
xanthocephalum sphaerocephalum,XASP ,  A  , FORB , PC  ,        SU   ,C3   , NAT , CJ1575 S-1938
xanthocephalum texanum,XATE ,  A  , FORB , .   ,        SU   ,.    , NAT , CJ1575
yucca baccata,YUBA ,  P  ,LF-SU , BA  ,        SP  C,AM   , NAT , CJ 397
yucca elata,YUEL ,  P  ,LF-SU , BS  ,        SP   ,C3   , NAT , CJ 400
zephyranthes longifolia,ZELO ,  P  ,LF-SU , BS  ,        SU   ,C3   , NAT , CJ 418 L-1244
zinnia acerosa,ZIAC ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1634
zinnia grandiflora,ZIGR ,  P  ,S-SHR , BS  ,        SU   ,C3   , NAT , CJ1634
ziziphus obtusifolia,ZIOB ,  P  ,SHRUB , BF  ,     SP-SU   ,C3   , NAT , CJ1013 L-1239
